what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381138955888
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1381138963682
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1381138967982
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381138974824
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381138981476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381138985239
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381138985332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381138993931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381138996967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381138997066
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1381139000870
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1381139002740
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1381139019534
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1381139019684
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1381139019738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139054820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139056170
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381139058713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139071675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139073146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139091186
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139091278
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1381139094094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1381139148952
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1381139161492
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1381139161643
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1381139161734
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1381139161765
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1381139162452
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1381139162857
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1381139163024
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1381139164816
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1381139164876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139165324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139167071
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1381139167489
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1381139167503
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1381139167507
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1381139167580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139167650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139169928
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1381139171573
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.VariableView",1381139171719
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1381139171757
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381139172720
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381139172758
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1381139187143
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381139191991
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139246165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139246917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139250704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139252255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139252517
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139255275
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139256666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139256804
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139264068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139266054
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1381139294132
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381139294258
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381139343154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139345880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139429555
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1381139433362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139439415
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139494204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139495493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139497854
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381139508884
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1381139510596
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381139517101
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1381139521873
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1381139533474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139572924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139574160
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1381139574163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139574534
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139576705
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381139579839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139590449
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139594506
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381139594682
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381139608592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1381139651589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1381139690950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139691233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139692810
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1381139777404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1381139779636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139779903
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139783776
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1381139794418
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1381139803179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139807129
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139980893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139992971
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381139999152
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381140001667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140005408
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.show.outline",1381140005451
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140007360
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381140038698
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381140043237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381140044245
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381140046609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381140048535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381140048986
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381140049651
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140058524
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140058661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140059471
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1381140090430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140117255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140118026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140122152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140122882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1381140144177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140216637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140216789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140252042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140252791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140254249
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140254376
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140254481
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140254587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140254700
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140254804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140254916
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140255026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140255140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140255264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140255379
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140255497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1381140255602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140258491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140259306
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381140274090
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140275575
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1381140275609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140279901
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1381140280037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140281755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1381140285798
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381140318797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381140319259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1381140320638
